farming,biota,boundaries,climatologyMeteorologyAtmosphere,economy,elevation,environment,geoscientificInformation,health,imageryBaseMapsEarthCover,intelligenceMilitary,inlandWaters,location,oceans,planningCadastre,society,structure,transportation,utilitiesCommunication,inlandWater,militaryIntelligence,Boundaries,intelligence,geoscientificInfo
Human settlements,Grasslands,Walls,Evapotranspiration,Landforms,Submarine topography,Petroleum reserves,Petroleum reserves,Population Statistics,Alleys,Cemeteries,Drinking water,Scenic overlooks,Submarine topography,Alleys,Alleys,Walls,Walls,Fire stations,Wachtowers,Land use,Boundaries,Fortification,Mountains
Landforms,Plants,Congressional districts,Rain,Housing Statistics,Landforms,Drinking water,Fault zones,Biotechnology industries,Submarine topography,Human settlements,Municipal water supply,Grids,Landforms,Landforms,Landforms,Scenic overlooks,Seaplane bases,Drinking water,Swamps,Human settlements,Counties,Athletic fields,
Farms,Riperian areas,Landforms,Evaporative power,Sex distribution (Demography),Contours,Grasslands,Grasslands,Syphilis,Manufacturing industries,Landforms,Landforms,Landforms,Marine geology,"Maps, Topographic",Housing Statistics,Landforms,Landforms,Waste disposal sites,Flood control,Transportation,"Boundaries, State",Racetracks (Automobile racing),
Villages,City planning,Snow removal,Climatology,Maternal and infant welfare,Slopes (Physical geography),Plants,Landforms,Lead poisoning in children,Fault zones,Military installations,Riperian areas,Housing Statistics,Biotic communities,Transportations,Sex distribution (Demography),"Meteorological stations, Radar",Snow removal,Broadcasting,Landforms,Infrastructure (Economics),,Racetracks (Horse racing),
Botanical Gardens,Land cover,Housing Statistics,Evaporation (Meteorology),Iron industry and trade,World maps,Riperian areas,Eskers,Demography,Grasslands,"Maps, Topographic",Bays,"Meteorological stations, Radar",Sea ice,City planning,Marital status,Housing Statistics,Transportations,Flood control,Qanats,Maps,,,
Gas fields,Cranberries,Drug abuse treatment,Precipitation (Meteorology),Mines and mineral resources,Bench-marks,Agricultural conservation,"Maps, Topographic",Pharmaceutical industries,Landforms,Airports,Harbors,Business parks,Bays,Agricultural conservation,Stadiums,Racetracks,Turntables (Railroads),Landforms,Urban land use,Bodies of water,,,
Plantations,Biotic communities,Sex distribution (Demography),Earth temperature,Marital status Statistics,Topographic maps,Mountains,Levees,Drug abuse treatment,"Maps, Topographic",Buildings,River surveys,Day care centers,Harbors,"Great Fire, Boston, Mass., 1872",City planning,Day care centers,Railway mail service,"Maps, Topographic",Dams,Fortification,,,
Cranberries,Quercus gambelii,Marital status,Sunshine,Real estate business,Topographic,Land cover,Mountains,Nursing homes,Railway mail service,Oil fields,Seas,Drilling and boring machinery,River surveys,Cities and towns Growth,Incas,Business parks,Refuse and refuse disposal,Snow removal,Deserts,"United States History Revolution, 1775-1783",,,
Infrastructure (Economics),Heathlands,Refuse and refuse disposal,Maps,Fish traps,Mountains,Biotic communities,Sea ice,Rehabilitation centers,Railroad yards,Fortification,Reservoirs,County Government,Steamboat lines,Government aid,Newspaper publishing,Drilling and boring machinery,Urban planning,Telecommunications lines,Fords (Stream crossings),,,,
Fisheries,Ecology,City planning,World maps,Zip codes,"World maps, physical",Quercus gambelii,Mines and mineral resources,Biomedical engineering,City planning,Villages,Waterfalls,City planning,Icebergs,Building permits,Education finance,Stadiums,Roadside rest areas,Railway mail service,Oases,,,,
Farm buildings,Fish traps,Mountains,Atmosphere,Households Statistics,Contours (Cartography),Mines and mineral resources,Icebergs,Maternal and infant welfare,Incas,"Siege, 1779-1783",Wellhead protection,Mountains,Seas,Golf courses,Towns,City planning,Ferries,Racetracks,Waterways,,,,
Bodies of water,Forests and Forestry,Land settlement patterns,Bodies of water,Consumption (Economics),Bodies of water,Heathlands,Oils wells,"Fertility, Human Statistics",Mountains,"Camp sites, facilities, etc.",Camp sites,Land cover,Chinese provinces,Wellhead protection,Marital status Statistics,Mountains,City planning,Radio stations,Ponds,,,,
Salt mines and mining,Wetlands,Administrative Divisions,Cloudiness,House selling,Wells,Ecology,Heathlands,Boundaries,Land cover,Navy-yards and naval stations,Wetlands,Administrative Divisions,Fish traps,Public buildings,Reservoirs,Transmission towers,Intracoastal,Refuse and refuse disposal,Shorelines,,,,
Mines and mineral resources,Bogs,Maternal and infant welfare,Clouds,Municipal budgets,Bathymetric maps,Golf courses,Seismic event location,Congregate housing,Land settlement patterns,"Bunker Hill, Battle of, Boston, Mass., 1775",Shipwrecks,Bays,Albatross (Steamer),Public spaces,Colleges,Land settlement patterns,Mountains,Wet Wells,Storm sewers,,,,
Rice,Vegetation boundaries,Sea ice,Precipitation (Meteorology) -- Measurement,Age distribution (Demography),Cartography,Wellhead protection,Petroleum,Childbirth statistics,Indians of North America,Fortifications,Altitudes,Harbors,Lighthouses,Earth Surface,Parliament,Sea ice,Harbors,City planning,Intracoastal,,,,
Silos,Prairies,Education finance,Meteorology,Mortality Statistics,Altitude,Petroleum,Earthquake magnitude,Mortality,Fish ponds,"Corinth, Battle of, Corinth, Miss., 1862",Bogs,Fire lookout stations,Ocean bottom,"Sociology, Urban",Mass media,Harbors,Religious institutions,Electric substations,Hydraulic structures,,,,
Grain elevators,Shellfish,Towns,Atmospheric temperature,"Fertility, Human",Hydrography,Wetlands,Conveying machinery,Public health,"World maps, physical",Mountains,Bodies of Water,Towns,Shipwrecks,Territorial waters,Private schools,Religious institutions,Terminals (transportation),Telegraph lines,Towers,,,,
Garden Paths,Pink salmon,Icebergs,Snow,Industrial statistics,Surveying,Fills (Earthwork),Altitudes,HIV infections,Bays,Indians of North America,Watersheds,Mines and mineral resources,Altitudes,Exhibitions,Zip codes,Church facilities,Walking,Newspaper publishing,Municipal engineering,,,,
Land use,Fens,Mines and mineral resources,,Federal aid,Altitudes,Altitudes,Lithology,AIDS (Disease),Harbors,Parks,Water supply,Seas,"Maps, topographic",Recreation areas,Resorts,Fire lookout stations,Steamboat lines,Transmission towers,Intakes (Hydraulic engineering),,,,
Wetlands,Marine resources,Chinese provinces,,Gross domestic product,Optical radar,Watersheds,Geophysical prospecting,Physicians,Religious institutions,Boundary disputes,Lakes,Chinese provinces,Coral reefs and islands,"Maps, Manuscript",Population statistics,Environmental regulation,Apartment houses,Storm Sewers,Bays,,,,
Bogs,Endangered species,Marital status Statistics,,Economic assistance,Coasts,Shellfish,Oils fields,Sexually transmitted diseases,Remote-sensing images,"Fort Sanders, Battle of, Knoxville, Tenn., 1863",River channels,Apartment houses,Territorial waters,Tide mills,Households Statistics,Mines and mineral resources,Commuting,Mines and mineral resources,Canals,,,,
Cities and towns,Urban land use,Real estate business,,Enterprise zones,Elevation,Hazardous waste sites,Geomorphology,Population statistics,"Great Fire, Boston, Mass., 1872",Harbors,Pink salmon,Reservoirs,Lakes,Historic buildings,Building permits,Seas,Post roads,Environmental regulation,Wells,,,,
Agriculture,Fish,Public health,,Income Statistics,Hydrology,Fens,World maps,"Territory, National","Siege, 1762",Infrastructure (Economics),Fens,Colleges,Ocean temperature,Enterprise zones,School facilities,Playgrounds,Albatross (Steamer),Cellular telephone services industry,Floodplains,,,,
Crops,Aquatic habitat,HIV infections,,Literacy,Names (Geographical),Marine resources,Oil fields,Substance abuse treatment,Iron industry and trade,Religious institutions,Seashore,Heathlands,Shellfish,Cemeteries,Golf courses,Reservoirs,Aerial views,Post roads,Bodies of water,,,,
Transportation,Community gardens,Parliament,,Pharmaceutical industries,Oceans,Recreation areas,Villages,Gonorrhea,River surveys,Universities and colleges,Aqueducts,Street addresses,Marine resources,Neighborhood,College entrance achievement tests,Apartment houses,Camp sites,Mass media,Floodplain management,,,,
Orchards,Plant communities,Zip codes,,Corporations Taxation,Remote sensing maps,Cemeteries,Magnetic declination,HIV (viruses) Statistics,Steamboat lines,"Siege, 1762",Recreation areas,Zip codes,Banks (Oceanography),Property tax,Rental housing,Congregate housing,Public spaces,Underground storage tanks,Reservoirs,,,,
Maps,Bodies of water,Population statistics,,Villages,Earth Surface,Endangered species,Gas wells,Medical centers,Mines and mineral resources,Bodies of water,"Maps, Manuscript",Skating rinks,Seashore,Housing,Public buildings,Excavations (Archaeology),Railroad terminals,Fuel,Waterfalls,,,,
Gardens,Landscape,Households Statistics,,U.S. states,Watersheds,Oil fields,Gas fields,Life expectancy,Seas,"Camp sites, facilities, etc",Airports,Lighthouses,Gazetteers,Urban land use,Convents,Colleges,Shipwrecks,Wellhead protection,Locks (Hydraulic engineering),,,,
Oils fields,Land use,Building permits,,Biomedical engineering,Altitudes -- Measurement,Wellheads,Volcanoes,Medical care,Reservoirs,Telegraph,Cemeteries,Coordinates,Airports,Ethnology,Congress,Commuting,Postal service,Postal service,Environmental management,,,,
Garden Structures,Salt marshes,College entrance achievement tests,,Social indicators,Groundwater,Gas fields,Rocks,Welfare recipients,Heathlands,Landowners,Water quality monitoring stations,Golf courses,World maps,Corporations Taxation,Consumption (Economics),Icebergs,Viaducts,Water aeration,Rapids,,,,
,Coastal ecology,Coastlines,,Economic zones,Drainage,Wetland ecology,Contours (Cartography),Human beings Migrations,Hammocks (Woodlands),Petroleum refineries,Villages,Public buildings,Villages,Villages,Museums,Grain elevators,Bus stops,Electric Lines,Weirs,,,,
,Ecological regions,Rental housing,,Infrastructure (Economics),,Fuelbreaks,Plant communities,Health facilities,Post roads,Land use,Wellheads,World Maps,Aquatic habitat,Community gardens,Postal service,Private schools,Traffic signs and signals,Sewerage,Catchments,,,,
,Sockeye salmon,Congress,,Salt mines and mining,,Fish,Infrastructure (Economics),Age distribution (Demography),Albatross (Steamer),"United States--History--Revolution, 1775-1783",Stream-gaging stations,Museums,Rocks,Infrastructure (Economics),Public schools,Government aid,Cycling,Telephone lines,Runoff,,,,
,Agriculture,National territory,,Bodies of water,,Aquatic habitat,Bodies of water,Senior centers,Glacial landforms,National parks and preserves,Aquifers,Postal service,Ocean,Municipal revenue,Lok Sabha,Skating rinks,Coral reefs and islands,Police stations,Ports,,,,
,Names (Geographical),House selling,,Railroads,,Pollution prevention,Salt mines and mining,Mortality Statistics,Aerial views,Real property,Wetland ecology,Altitudes,Plant communities,Bodies of water,Police stations,Building permits,Mountaineering,Watersheds,Hydrography,,,,
,Wildlife habitat,Sewerage,,Land use,,Plant communities,Petrology,Medical specialists,Golf courses,Hydrography,Waterways,Libraries,Infrastructure (Economics),Indian reservations,Municipal budgets,Lighthouses,Ski lifts,Water-supply engineering,Islands,,,,
,Wetland restoration,Lok Sabha,,Employment,,Bodies of water,Earthflows,Chlamydia infections,Public buildings,Camp sites,Sluice gates,Traffic signs and signals,Beaches,Historic preservation,Age distribution (Demography),School facilities,Public utilities,Fire protection districts,Streams,,,,
,Trees,Municipal budgets,,Real property prices,,Land use,Geothermal resources,Hospitals,Camp sites,Islands,Fish,Trailer camps,Bodies of water,Fires,Mortality Statistics,Golf courses,Hospitals,Water supply,Springs,,,,
,Marine ecological regions,Age distribution (Demography),,Urban economics,,Landscape,Cliffs,Vital statistics,Wetlands,Defenses,Ocean,Lakes,Coastal geology,Regional planning,"Fertility, Human",Youth centers,Exhibitions,Storage facilities,Hydrology,,,,
,Animal diversity conservation,Fire protection districts,,Industries Classification,,Abandoned coal mines,Land use,Food relief,Public spaces,Coasts,Hydraulic structures,Continents,Land use,Railroads,"Sociology, Urban",Public buildings,Rail-trails,Water towers,Coasts,,,,
,Tundras,Mortality Statistics,,Names (Geographical),,Salt marshes,Landscape,,Ocean bottom,Water,Plant communities,Hospitals,Islands,Land use,World Bank,Camp sites,Power plants,Petroluem refineries,Water,,,,
,Plants Habitat,"Fertility, Human",,Business enterprises,,Groundwater disposal,Abandoned coal mines,,Railroad terminals,Administrative and political division,Infrastructure (Economics),Monuments,Coastal ecology,Landscape,Industrial statistics,Convents,Recreation areas,Television stations,Watersheds,,,,
,Marshes,Water supply,,Maps,,Coastal ecology,Earthquakes,,Postal service,"United States History Revolution, 1775-1783",Bodies of water,Public utilities,Ecological regions,Zoning,Hospitals,Museums,"Maps, Manuscript",Public utilities,Inland water transportation,,,,
,Coho salmon,Medical specialists,,Childbirth Statistics,,Ecological regions,Seismology,,Altitudes,Cities and towns,Stream measurements,Power plants,Regattas,Neighborhoods,Gross domestic product,Railroad terminals,Airports,Ski lifts,Glaciers,,,,
,Vegetation,Territorial waters,,Furnaces,,Water-supply,Maps,,Forest nurseries,Sherman's March through the Carolinas,Locks (Hydraulic engineering),Recreation,Water,Real property,Exhibitions,Fills (Earthwork),Gazetteers,Power plants,Transportation,,,,
,Anadromous fishes,World Bank,,Ethnic groups,,Water,Quarries and quarrying,,Sewerage,"Civil War, 1861-1865",Geothermal resources,Banks (Oceanography),Names (Geographical),Surveying,Recreation,Conveying machinery,Athletic fields,Oils fields,Rivers,,,,
